               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11755,            0.036448,            0.038334,           0.0041238,             0.64788,             0.01574,           0.0051201,             0.12103,            0.024517,            0.041803,              0.0955,              0.0005,              0.0005
                   1,             0.10651,            0.035725,            0.037935,           0.0040423,             0.64797,             0.01858,           0.0062476,             0.10071,            0.024067,            0.040128,            0.090078,           0.0010782,           0.0010782
                   2,            0.092345,            0.038395,            0.038032,           0.0048391,             0.79857,             0.03366,           0.0080259,            0.075524,            0.022381,            0.041647,            0.084633,           0.0016327,           0.0016327
                   3,             0.08174,             0.03783,            0.037605,           0.0065093,              0.8825,            0.044554,            0.015232,            0.066562,            0.021323,            0.038205,            0.079163,           0.0021634,           0.0021634
                   4,            0.076078,            0.040074,            0.035689,             0.17446,             0.25463,             0.14891,            0.049896,            0.064877,            0.019873,            0.033051,             0.07367,           0.0026703,           0.0026703
                   5,            0.065801,             0.03807,            0.033846,             0.17082,             0.46924,             0.19335,            0.080502,            0.055782,            0.024021,            0.030652,            0.068154,           0.0031535,           0.0031535
                   6,            0.062714,            0.034467,            0.029735,              0.1792,             0.37331,             0.24962,             0.11242,            0.050622,            0.021911,            0.026866,            0.062613,           0.0036129,           0.0036129
                   7,            0.052965,            0.032826,            0.028936,             0.29761,             0.38174,             0.27849,             0.12934,            0.049439,            0.019636,            0.021208,            0.057049,           0.0040486,           0.0040486
                   8,            0.058171,            0.030148,            0.026611,             0.30806,             0.34552,             0.25691,             0.10216,            0.056305,            0.017375,            0.016976,             0.05146,           0.0044605,           0.0044605
                   9,            0.058161,            0.033914,            0.025021,             0.40315,             0.50373,             0.45113,             0.16523,            0.050723,            0.016405,            0.016255,            0.045849,           0.0048486,           0.0048486
                  10,            0.056754,            0.030089,            0.021383,              0.2422,             0.61074,             0.34773,             0.16189,            0.052406,            0.015655,            0.015092,            0.040213,            0.005213,            0.005213
                  11,            0.055359,            0.033091,            0.018035,             0.41796,             0.63853,             0.48999,             0.19976,            0.043033,            0.016457,            0.012164,            0.034554,           0.0055536,           0.0055536
                  12,            0.054299,            0.027522,            0.017716,             0.38961,             0.58511,              0.4222,             0.21403,            0.049809,            0.015833,            0.010034,             0.02887,           0.0058705,           0.0058705
                  13,            0.053125,            0.029353,            0.015674,             0.48045,             0.62528,             0.51319,              0.2497,            0.046927,            0.015183,            0.008868,            0.023164,           0.0061636,           0.0061636
