               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11296,             0.03538,             0.03797,           0.0045812,             0.68525,            0.046273,            0.014894,            0.076917,            0.024734,            0.028564,              0.0955,              0.0005,              0.0005
                   1,             0.11062,            0.036573,            0.039451,           0.0050842,             0.79208,            0.029094,           0.0080878,            0.064947,            0.023083,            0.026834,            0.090078,           0.0010782,           0.0010782
                   2,            0.092274,            0.038779,            0.037268,           0.0050429,             0.80002,              0.0362,           0.0080543,            0.053487,            0.021549,            0.025452,            0.084633,           0.0016327,           0.0016327
                   3,            0.079926,            0.037173,            0.035728,           0.0060409,             0.95468,             0.06483,            0.019663,            0.041854,            0.022002,            0.023291,            0.079163,           0.0021634,           0.0021634
                   4,            0.067587,            0.037716,            0.033554,             0.16631,             0.32091,             0.14412,            0.051836,            0.039152,            0.020823,            0.023016,             0.07367,           0.0026703,           0.0026703
                   5,            0.063762,            0.037501,            0.032124,              0.1707,             0.41066,             0.19902,            0.071002,             0.03465,            0.022743,            0.022723,            0.068154,           0.0031535,           0.0031535
                   6,            0.060103,            0.033571,            0.029393,             0.16019,             0.47327,             0.21928,            0.071988,            0.036259,            0.026713,            0.022073,            0.062613,           0.0036129,           0.0036129
                   7,            0.052084,            0.031926,            0.031248,             0.21689,             0.32373,             0.19212,            0.077834,            0.032817,            0.020492,            0.021204,            0.057049,           0.0040486,           0.0040486
                   8,            0.050654,            0.028871,            0.029506,             0.19271,              0.3447,             0.20754,             0.08624,             0.03352,            0.018326,            0.019153,             0.05146,           0.0044605,           0.0044605
                   9,            0.056383,            0.030742,            0.026108,              0.5181,              0.4528,             0.47895,             0.22548,            0.027007,            0.016671,            0.015628,            0.045849,           0.0048486,           0.0048486
                  10,            0.053755,             0.02885,            0.024869,             0.25903,             0.56895,             0.32374,             0.12918,            0.035014,            0.014947,             0.01311,            0.040213,            0.005213,            0.005213
                  11,            0.052253,            0.033819,            0.020584,             0.27689,             0.63402,             0.38405,              0.1517,            0.040505,            0.016154,             0.01057,            0.034554,           0.0055536,           0.0055536
